iter	Passed	Remaining
0	161	161011
1	177	88769
2	189	62899
3	202	50456
4	215	42938
5	229	37996
6	241	34303
7	256	31848
8	270	29798
9	281	27881
10	297	26729
11	312	25726
12	325	24691
13	338	23818
14	351	23079
15	364	22445
16	379	21968
17	394	21505
18	407	21062
19	421	20634
20	427	19932
21	443	19711
22	458	19476
23	473	19243
24	487	19019
25	503	18845
26	517	18633
27	524	18211
28	539	18069
29	554	17935
30	569	17793
31	584	17670
32	599	17556
33	614	17448
34	620	17112
35	634	16988
36	648	16876
37	663	16785
38	677	16684
39	691	16585
40	706	16534
41	721	16449
42	735	16369
43	750	16308
44	762	16183
45	777	16132
46	792	16066
47	807	16009
48	821	15940
49	830	15775
50	841	15667
51	855	15597
52	869	15534
53	883	15483
54	899	15460
55	914	15422
56	929	15378
57	943	15326
58	958	15282
59	971	15227
60	986	15184
61	1000	15129
62	1014	15086
63	1028	15040
64	1043	15003
65	1058	14977
66	1073	14947
67	1087	14910
68	1102	14873
69	1116	14831
70	1126	14737
71	1141	14706
72	1155	14676
73	1178	14751
74	1194	14732
75	1200	14595
76	1215	14565
77	1230	14543
78	1248	14555
79	1262	14517
80	1272	14436
81	1287	14409
82	1306	14433
83	1321	14406
84	1335	14373
85	1349	14341
86	1363	14308
87	1377	14272
88	1391	14241
89	1405	14206
90	1419	14180
91	1433	14146
92	1447	14113
93	1460	14076
94	1477	14071
95	1494	14070
96	1511	14069
97	1516	13959
98	1526	13896
99	1542	13878
100	1556	13854
101	1570	13829
102	1585	13807
103	1588	13689
104	1594	13593
105	1604	13535
106	1618	13504
107	1632	13481
108	1638	13389
109	1651	13358
110	1664	13329
111	1677	13302
112	1685	13228
113	1699	13204
114	1713	13185
115	1727	13166
116	1741	13142
117	1744	13040
118	1758	13015
119	1772	12995
120	1784	12967
121	1790	12884
122	1804	12867
123	1818	12844
124	1831	12820
125	1845	12803
126	1860	12788
127	1874	12772
128	1889	12754
129	1896	12689
130	1909	12667
131	1923	12647
132	1931	12589
133	1937	12518
134	1950	12500
135	1965	12484
136	1968	12399
137	1971	12314
138	1985	12297
139	1998	12277
140	2012	12259
141	2025	12240
142	2033	12186
143	2047	12169
144	2061	12156
145	2076	12143
146	2090	12127
147	2104	12112
148	2118	12097
149	2121	12020
150	2134	12003
151	2148	11986
152	2163	11975
153	2177	11960
154	2191	11945
155	2205	11931
156	2218	11910
157	2231	11894
158	2237	11834
159	2242	11775
160	2256	11761
161	2270	11746
162	2285	11737
163	2299	11724
164	2313	11708
165	2327	11694
166	2341	11681
167	2355	11665
168	2369	11649
169	2374	11592
170	2387	11574
171	2400	11556
172	2413	11539
173	2427	11524
174	2441	11511
175	2449	11468
176	2456	11421
177	2470	11408
178	2484	11395
179	2498	11382
180	2512	11369
181	2526	11355
182	2540	11341
183	2545	11290
184	2559	11277
185	2574	11267
186	2588	11253
187	2602	11239
188	2616	11226
189	2629	11211
190	2644	11199
191	2658	11186
192	2672	11173
193	2686	11161
194	2700	11147
195	2714	11134
196	2727	11119
197	2742	11108
198	2755	11092
199	2768	11075
200	2782	11062
201	2797	11050
202	2811	11037
203	2825	11024
204	2839	11009
205	2852	10995
206	2866	10981
207	2879	10965
208	2893	10952
209	2908	10940
210	2922	10927
211	2935	10912
212	2960	10939
213	2977	10936
214	2994	10932
215	3012	10933
216	3028	10927
217	3045	10923
218	3062	10922
219	3077	10912
220	3090	10893
221	3104	10880
222	3118	10866
223	3132	10851
224	3144	10832
225	3158	10818
226	3172	10804
227	3186	10790
228	3200	10777
229	3215	10764
230	3229	10751
231	3243	10738
232	3258	10726
233	3272	10713
234	3286	10699
235	3301	10686
236	3315	10673
237	3329	10660
238	3343	10645
239	3357	10632
240	3371	10618
241	3385	10604
242	3399	10590
243	3413	10577
244	3427	10562
245	3441	10548
246	3455	10534
247	3468	10517
248	3482	10504
249	3494	10483
250	3508	10470
251	3523	10459
252	3538	10447
253	3552	10432
254	3566	10419
255	3576	10394
256	3589	10378
257	3604	10365
258	3618	10352
259	3633	10341
260	3643	10315
261	3658	10306
262	3673	10293
263	3687	10279
264	3700	10264
265	3715	10251
266	3729	10237
267	3743	10223
268	3757	10210
269	3771	10197
270	3783	10178
271	3797	10164
272	3812	10151
273	3826	10137
274	3840	10125
275	3854	10112
276	3868	10098
277	3883	10084
278	3896	10069
279	3910	10056
280	3924	10041
281	3938	10029
282	3952	10015
283	3966	10000
284	3980	9986
285	3994	9973
286	4009	9960
287	4023	9947
288	4037	9932
289	4051	9918
290	4065	9905
291	4079	9891
292	4094	9880
293	4108	9866
294	4122	9852
295	4135	9836
296	4149	9822
297	4163	9807
298	4176	9790
299	4190	9777
300	4204	9764
301	4218	9749
302	4232	9735
303	4247	9725
304	4265	9719
305	4280	9708
306	4297	9699
307	4311	9687
308	4321	9664
309	4335	9649
310	4349	9635
311	4363	9621
312	4376	9606
313	4390	9591
